,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings
735,M,0.735,0.57,0.175,1.88,0.9095,0.387,0.488,11
736,M,0.665,0.535,0.155,1.383,0.596,0.2565,0.485,14
737,I,0.48,0.39,0.145,0.5825,0.2315,0.121,0.255,15
738,M,0.495,0.395,0.125,0.5415,0.2375,0.1345,0.155,9
739,I,0.405,0.3,0.12,0.324,0.1265,0.07,0.11,7
740,F,0.53,0.405,0.15,0.889,0.4055,0.2275,0.215,8
741,I,0.53,0.4,0.125,0.617,0.27899999999999997,0.127,0.19,8
742,F,0.655,0.515,0.2,1.494,0.7255,0.309,0.405,12
743,I,0.45,0.345,0.135,0.44299999999999995,0.1975,0.0875,0.1175,14
744,M,0.65,0.495,0.16,1.304,0.57,0.312,0.3725,9
745,I,0.52,0.405,0.14,0.5775,0.2,0.145,0.179,11
746,M,0.59,0.465,0.165,1.115,0.5165,0.273,0.275,10
747,F,0.645,0.52,0.19,1.3105,0.58,0.28800000000000003,0.37,12
748,F,0.55,0.47,0.15,0.9205,0.381,0.2435,0.2675,10
749,I,0.315,0.245,0.085,0.1435,0.053,0.0475,0.05,8
750,F,0.485,0.4,0.155,0.731,0.23600000000000002,0.183,0.255,11
751,M,0.57,0.43,0.12,1.0615,0.348,0.16699999999999998,0.31,15
752,F,0.575,0.445,0.135,0.883,0.381,0.2035,0.26,11
753,M,0.71,0.57,0.195,1.348,0.8985,0.4435,0.4535,11
754,I,0.215,0.15,0.03,0.0385,0.0115,0.005,0.01,5
755,F,0.675,0.53,0.175,1.4465,0.6775,0.33,0.389,10
756,F,0.595,0.46,0.14,1.0045,0.4655,0.2095,0.2515,9
757,I,0.28,0.2,0.065,0.0895,0.036000000000000004,0.0185,0.03,7
758,M,0.525,0.395,0.165,0.782,0.285,0.1405,0.285,19
759,M,0.345,0.255,0.09,0.2005,0.094,0.0295,0.063,9
760,F,0.47,0.36,0.11,0.4965,0.237,0.127,0.13,6
761,M,0.735,0.555,0.22,2.333,1.2395,0.3645,0.6195,12
762,I,0.195,0.15,0.045,0.0375,0.018000000000000002,0.006,0.011000000000000001,3
763,F,0.645,0.535,0.19,1.2395,0.46799999999999997,0.2385,0.424,10
764,M,0.715,0.55,0.175,1.825,0.938,0.3805,0.44,11
765,I,0.625,0.485,0.16,1.15,0.5255,0.257,0.3315,11
766,F,0.625,0.475,0.16,1.3335,0.605,0.2875,0.319,10
767,M,0.645,0.51,0.155,1.5390000000000001,0.6405,0.3585,0.43,11
768,M,0.645,0.51,0.19,1.4745,0.605,0.345,0.48,9
769,F,0.655,0.52,0.175,1.472,0.6275,0.27,0.45,13
770,M,0.62,0.45,0.2,0.858,0.4285,0.1525,0.2405,8
771,F,0.62,0.505,0.16,1.3725,0.6285,0.275,0.3685,11
772,M,0.45,0.36,0.16,0.5670000000000001,0.174,0.1245,0.225,12
773,I,0.475,0.36,0.11,0.49200000000000005,0.21100000000000002,0.11,0.15,8
774,M,0.675,0.525,0.185,1.587,0.6935,0.336,0.395,13
775,M,0.63,0.485,0.155,1.278,0.637,0.275,0.31,8
776,M,0.66,0.51,0.165,1.6375,0.7685,0.3545,0.3925,14
777,M,0.63,0.49,0.16,1.09,0.40700000000000003,0.22399999999999998,0.354,12
778,I,0.54,0.425,0.14,0.742,0.32,0.1395,0.25,9
779,I,0.385,0.29,0.08,0.2485,0.122,0.0495,0.065,7
780,I,0.4,0.32,0.095,0.348,0.19399999999999998,0.053,0.087,6
781,F,0.565,0.45,0.185,0.9285,0.302,0.1805,0.265,12
782,M,0.505,0.39,0.105,0.6555,0.2595,0.18,0.19,11
783,F,0.68,0.515,0.175,1.6185,0.5125,0.409,0.62,12
784,F,0.575,0.465,0.14,0.958,0.442,0.1815,0.2705,9
785,I,0.48,0.39,0.15,0.6275,0.276,0.134,0.185,13
786,I,0.33,0.25,0.105,0.1715,0.0655,0.035,0.06,7
787,I,0.525,0.4,0.125,0.5655,0.2435,0.11900000000000001,0.175,8
788,M,0.5,0.4,0.13,0.7715,0.37,0.16,0.21100000000000002,8
789,M,0.62,0.49,0.15,1.195,0.4605,0.302,0.355,9
790,M,0.63,0.47,0.15,1.1355,0.539,0.2325,0.3115,12
791,I,0.39,0.29,0.09,0.2745,0.135,0.0455,0.078,8
792,I,0.465,0.36,0.105,0.498,0.214,0.11599999999999999,0.14,15
793,I,0.635,0.48,0.2,1.3655,0.6255,0.2595,0.425,16
794,I,0.555,0.425,0.13,0.648,0.2835,0.133,0.2105,8
795,F,0.705,0.57,0.18,1.5345,0.96,0.4195,0.43,12
796,F,0.56,0.43,0.125,0.8025,0.313,0.1715,0.263,13
797,I,0.57,0.44,0.13,0.7665,0.34700000000000003,0.1785,0.20199999999999999,10
798,F,0.63,0.515,0.16,1.3359999999999999,0.5529999999999999,0.3205,0.35,11
799,F,0.54,0.42,0.13,0.7505,0.368,0.1675,0.1845,9
800,M,0.66,0.5,0.165,1.3195,0.667,0.26899999999999996,0.341,9
801,M,0.48,0.395,0.15,0.6815,0.2145,0.1405,0.2495,18
802,M,0.66,0.53,0.195,1.5505,0.6505,0.3295,0.495,10
803,F,0.7,0.55,0.17,1.6840000000000002,0.7535,0.3265,0.32,11
804,M,0.72,0.55,0.205,2.165,1.1055,0.525,0.40399999999999997,10
805,M,0.695,0.55,0.22,1.5515,0.5660000000000001,0.3835,0.445,13
806,F,0.61,0.485,0.165,1.0915,0.3935,0.2435,0.33,18
807,F,0.36,0.265,0.09,0.2165,0.096,0.037000000000000005,0.0735,10
808,F,0.565,0.45,0.165,0.9765,0.322,0.244,0.37,12
809,I,0.435,0.325,0.1,0.366,0.174,0.0725,0.109,7
810,F,0.62,0.5,0.175,1.146,0.47700000000000004,0.23,0.39,13
811,I,0.455,0.325,0.135,0.82,0.4005,0.1715,0.21100000000000002,8
812,I,0.405,0.3,0.085,0.3035,0.15,0.0505,0.08800000000000001,7
813,M,0.6,0.495,0.175,1.29,0.606,0.276,0.3445,11
814,I,0.325,0.24,0.075,0.1525,0.07200000000000001,0.0645,0.043,6
815,F,0.61,0.47,0.145,1.153,0.40299999999999997,0.29600000000000004,0.32,14
816,M,0.53,0.41,0.14,0.7545,0.3495,0.1715,0.2105,8
817,I,0.525,0.4,0.14,0.6055,0.2605,0.10800000000000001,0.21,9
818,I,0.51,0.38,0.115,0.5155,0.215,0.1135,0.166,8
819,M,0.345,0.265,0.09,0.163,0.0615,0.037000000000000005,0.0485,10
820,F,0.58,0.46,0.185,1.0170000000000001,0.3515,0.2,0.32,10
821,F,0.67,0.505,0.175,1.0145,0.4375,0.271,0.3745,10
822,I,0.425,0.33,0.115,0.3265,0.1315,0.077,0.10300000000000001,6
823,F,0.63,0.475,0.15,1.172,0.536,0.254,0.316,11
824,M,0.61,0.475,0.155,0.983,0.4565,0.228,0.266,10
825,M,0.69,0.55,0.2,1.8465,0.732,0.47200000000000003,0.57,19
826,I,0.475,0.36,0.145,0.6325,0.2825,0.13699999999999998,0.19,8
827,I,0.38,0.28,0.095,0.2885,0.165,0.0435,0.067,7
828,F,0.675,0.51,0.15,1.1965,0.475,0.304,0.386,11
829,I,0.44,0.345,0.12,0.365,0.1655,0.083,0.11,7
830,M,0.51,0.38,0.135,0.6809999999999999,0.3435,0.142,0.17,9
831,M,0.45,0.32,0.1,0.381,0.1705,0.075,0.115,9
832,M,0.5,0.405,0.155,0.772,0.34600000000000003,0.1535,0.245,12
833,I,0.435,0.345,0.12,0.3215,0.13,0.055999999999999994,0.1185,7
834,I,0.62,0.47,0.14,0.8565,0.3595,0.16,0.295,9
835,I,0.37,0.28,0.1,0.221,0.1165,0.0265,0.0635,6
836,M,0.6,0.45,0.145,0.877,0.4325,0.155,0.24,9
837,F,0.645,0.52,0.175,1.3345,0.667,0.2665,0.355,10
838,M,0.485,0.385,0.125,0.4775,0.2,0.0785,0.17,12
839,M,0.63,0.51,0.19,1.4985,0.4125,0.3075,0.545,16
840,I,0.435,0.34,0.115,0.3925,0.1825,0.078,0.1145,6
841,M,0.43,0.335,0.115,0.406,0.166,0.0935,0.135,8
842,M,0.69,0.55,0.195,1.777,0.769,0.38,0.4305,11
843,I,0.5,0.375,0.125,0.5695,0.259,0.124,0.157,7
844,M,0.475,0.36,0.14,0.5135,0.24100000000000002,0.1045,0.155,8
845,F,0.545,0.445,0.175,0.8525,0.3465,0.18899999999999997,0.295,13
846,M,0.585,0.46,0.15,1.206,0.581,0.21600000000000003,0.32299999999999995,10
847,F,0.63,0.475,0.15,1.072,0.433,0.2975,0.315,8
848,I,0.245,0.175,0.055,0.0785,0.04,0.018000000000000002,0.02,5
849,F,0.565,0.44,0.15,0.863,0.435,0.149,0.27,9
850,M,0.45,0.34,0.13,0.3715,0.1605,0.0795,0.105,9
851,M,0.67,0.525,0.17,1.4005,0.715,0.3025,0.387,9
852,I,0.535,0.455,0.14,1.0015,0.53,0.1765,0.244,9
853,I,0.375,0.29,0.14,0.3,0.14,0.0625,0.0825,8
854,F,0.615,0.475,0.145,0.9525,0.3915,0.195,0.32,9
855,M,0.51,0.4,0.13,0.6435,0.27,0.1665,0.205,12
856,F,0.605,0.47,0.16,1.0835,0.5405,0.2215,0.275,12
857,I,0.45,0.35,0.135,0.494,0.2205,0.0945,0.1405,7
858,M,0.505,0.385,0.105,0.5525,0.239,0.1245,0.1555,9
859,I,0.63,0.505,0.18,1.272,0.6025,0.295,0.315,11
860,M,0.6,0.475,0.175,1.3445,0.5489999999999999,0.2875,0.36,11
861,I,0.385,0.3,0.095,0.302,0.152,0.0615,0.0735,7
862,M,0.61,0.47,0.17,1.1185,0.5225,0.2405,0.31,9
863,F,0.605,0.495,0.17,1.2385,0.528,0.2465,0.39,14
864,M,0.42,0.335,0.115,0.369,0.171,0.071,0.12,8
865,M,0.54,0.42,0.12,0.8115,0.392,0.1455,0.2235,9
866,F,0.615,0.475,0.17,1.1025,0.4695,0.2355,0.345,14
867,F,0.5,0.4,0.15,0.8085,0.273,0.11199999999999999,0.295,13
868,M,0.655,0.515,0.2,1.3730000000000002,0.44299999999999995,0.3375,0.49,16
869,M,0.635,0.525,0.205,1.484,0.55,0.3115,0.43,20
870,F,0.565,0.48,0.175,0.9570000000000001,0.3885,0.215,0.275,18
871,I,0.475,0.36,0.11,0.452,0.191,0.099,0.13,8
872,I,0.46,0.355,0.11,0.436,0.1975,0.096,0.125,8
873,I,0.44,0.325,0.11,0.4965,0.258,0.1195,0.1075,8
874,M,0.485,0.39,0.085,0.6435,0.2945,0.10300000000000001,0.198,8
875,F,0.72,0.55,0.195,2.073,1.0715,0.4265,0.5015,9
876,I,0.235,0.16,0.04,0.048,0.0185,0.018000000000000002,0.015,5
877,I,0.55,0.43,0.145,0.7120000000000001,0.3025,0.152,0.225,10
878,F,0.6,0.48,0.17,1.056,0.4575,0.2435,0.3135,10
879,M,0.52,0.425,0.155,0.7735,0.297,0.12300000000000001,0.255,17
880,I,0.37,0.28,0.09,0.233,0.0905,0.0545,0.07,11
881,I,0.5,0.375,0.145,0.5795,0.239,0.1375,0.185,9
882,F,0.56,0.44,0.14,0.9285,0.3825,0.188,0.3,11
883,I,0.32,0.215,0.095,0.305,0.14,0.067,0.0885,6
884,M,0.63,0.48,0.185,1.21,0.53,0.2555,0.322,11
885,M,0.625,0.495,0.155,1.025,0.46,0.1945,0.34,9
886,M,0.61,0.475,0.15,1.1420000000000001,0.62,0.237,0.245,9
887,I,0.365,0.255,0.08,0.1985,0.0785,0.0345,0.053,5
888,M,0.57,0.445,0.16,1.0145,0.516,0.16399999999999998,0.3,10
889,I,0.47,0.4,0.16,0.51,0.1615,0.073,0.198,14
890,M,0.57,0.42,0.155,1.008,0.377,0.193,0.34,13
891,F,0.585,0.46,0.17,1.0835,0.3745,0.326,0.325,14
892,M,0.625,0.49,0.175,1.3325,0.5705,0.271,0.405,10
893,I,0.455,0.35,0.105,0.4445,0.213,0.107,0.1115,7
894,M,0.6,0.51,0.185,1.285,0.6095,0.2745,0.315,9
895,I,0.295,0.225,0.09,0.1105,0.0405,0.0245,0.032,7
896,F,0.67,0.51,0.155,1.278,0.5605,0.3045,0.358,11
897,I,0.21,0.15,0.05,0.042,0.0175,0.0125,0.015,4
898,F,0.645,0.5,0.155,1.2205,0.6145,0.23600000000000002,0.3185,10
899,M,0.47,0.375,0.13,0.5795,0.2145,0.16399999999999998,0.195,13
900,I,0.485,0.375,0.13,0.6025,0.2935,0.1285,0.16,7
901,F,0.56,0.465,0.16,1.0315,0.43200000000000005,0.2025,0.337,9
902,M,0.435,0.335,0.11,0.4385,0.2075,0.0715,0.1315,7
903,I,0.27,0.195,0.065,0.1065,0.0475,0.0225,0.0285,5
904,I,0.335,0.25,0.08,0.183,0.0735,0.04,0.0575,6
905,F,0.36,0.265,0.09,0.2065,0.078,0.057,0.06,8
906,F,0.57,0.445,0.145,0.8775,0.41200000000000003,0.217,0.22,8
907,I,0.43,0.32,0.11,0.3675,0.1675,0.102,0.105,8
908,I,0.515,0.35,0.105,0.4745,0.213,0.12300000000000001,0.1275,10
909,F,0.635,0.51,0.17,1.2235,0.532,0.271,0.354,9
910,I,0.535,0.4,0.135,0.775,0.368,0.20800000000000002,0.2055,8
911,M,0.555,0.425,0.15,0.873,0.4625,0.1845,0.1965,9
912,M,0.555,0.455,0.16,1.0575,0.3925,0.228,0.293,13
913,M,0.6,0.455,0.17,1.1915,0.696,0.2395,0.24,8
914,M,0.55,0.45,0.15,1.0145,0.40700000000000003,0.2015,0.2875,10
915,F,0.635,0.495,0.175,1.2355,0.5205,0.3085,0.34700000000000003,10
916,M,0.685,0.535,0.155,1.3845,0.6615,0.2145,0.4075,10
917,I,0.475,0.365,0.12,0.5185,0.268,0.1095,0.1365,8
918,M,0.61,0.48,0.15,1.2,0.56,0.2455,0.28,14
919,I,0.255,0.19,0.075,0.0865,0.0345,0.0205,0.025,5
920,M,0.41,0.325,0.12,0.3745,0.158,0.081,0.125,12
921,I,0.275,0.175,0.09,0.2315,0.096,0.057,0.0705,5
922,M,0.47,0.36,0.135,0.501,0.1665,0.115,0.165,10
923,I,0.445,0.33,0.11,0.358,0.1525,0.067,0.1185,8
924,F,0.6,0.47,0.19,1.1345,0.49200000000000005,0.2595,0.3375,10
925,F,0.525,0.425,0.14,0.8735,0.4205,0.182,0.2225,10
926,M,0.685,0.55,0.19,1.885,0.89,0.41,0.4895,10
927,F,0.555,0.43,0.135,0.812,0.4055,0.163,0.2215,9
928,M,0.61,0.48,0.14,1.031,0.4375,0.2615,0.27,8
929,F,0.62,0.495,0.17,1.062,0.37200000000000005,0.213,0.34,11
930,M,0.58,0.44,0.16,0.8295,0.3365,0.2005,0.2485,9
931,M,0.48,0.37,0.1,0.5135,0.243,0.1015,0.135,8
932,F,0.59,0.475,0.155,0.9715,0.371,0.235,0.28,11
933,M,0.535,0.435,0.15,0.725,0.26899999999999996,0.1385,0.25,9
934,F,0.49,0.37,0.14,0.585,0.243,0.115,0.195,10
935,M,0.53,0.435,0.155,0.6990000000000001,0.28800000000000003,0.1595,0.205,10
936,M,0.565,0.445,0.14,0.836,0.406,0.1605,0.2245,9
937,M,0.51,0.39,0.135,0.769,0.3935,0.1455,0.19,8
938,M,0.565,0.425,0.16,0.9425,0.3495,0.2185,0.275,17
939,F,0.72,0.575,0.17,1.9335,0.9129999999999999,0.389,0.51,13
940,M,0.65,0.51,0.175,1.155,0.4955,0.2025,0.385,12
941,F,0.68,0.58,0.2,1.787,0.585,0.45299999999999996,0.6,19
942,F,0.57,0.44,0.125,0.865,0.3675,0.1725,0.27,12
943,I,0.265,0.21,0.06,0.0965,0.0425,0.022000000000000002,0.03,5
944,M,0.545,0.44,0.12,0.8565,0.3475,0.1715,0.24,12
945,F,0.515,0.43,0.14,0.8340000000000001,0.36700000000000005,0.2,0.23,8
946,I,0.5,0.385,0.12,0.516,0.19699999999999998,0.1305,0.165,8
947,F,0.815,0.65,0.25,2.255,0.8905,0.42,0.7975,14
948,I,0.53,0.395,0.13,0.575,0.247,0.115,0.183,9
949,I,0.38,0.29,0.1,0.237,0.10800000000000001,0.0395,0.08199999999999999,6
950,I,0.57,0.445,0.155,0.867,0.3705,0.1705,0.28,9
951,M,0.71,0.555,0.195,1.9485,0.9455,0.3765,0.495,12
952,M,0.525,0.38,0.125,0.65,0.303,0.155,0.159,7
953,M,0.62,0.475,0.195,1.3585,0.5935,0.3365,0.3745,10
954,F,0.74,0.575,0.22,2.012,0.8915,0.5265,0.47100000000000003,12
955,I,0.445,0.31,0.09,0.336,0.1555,0.09,0.0855,7
956,M,0.555,0.43,0.165,0.7575,0.2735,0.1635,0.275,13
957,F,0.625,0.42,0.165,1.0595,0.358,0.165,0.445,21
958,I,0.49,0.375,0.115,0.557,0.2275,0.1335,0.1765,8
959,M,0.555,0.445,0.13,0.8625,0.4225,0.155,0.24,9
960,F,0.46,0.365,0.125,0.4785,0.20600000000000002,0.1045,0.141,8
961,I,0.565,0.465,0.15,1.1815,0.581,0.2215,0.3095,9
962,I,0.4,0.31,0.1,0.306,0.13,0.06,0.094,6
963,M,0.645,0.515,0.185,1.4605,0.5835,0.3155,0.41,19
964,F,0.57,0.465,0.18,0.9995,0.405,0.27699999999999997,0.295,16
965,M,0.665,0.505,0.16,1.2890000000000001,0.6145,0.253,0.3665,11
966,F,0.56,0.43,0.145,0.898,0.3895,0.2325,0.245,9
967,F,0.755,0.625,0.21,2.505,1.1965,0.513,0.6785,11
968,M,0.575,0.445,0.145,0.8759999999999999,0.3795,0.1615,0.27,10
969,M,0.66,0.505,0.19,1.4385,0.6775,0.285,0.17800000000000002,11
970,F,0.665,0.555,0.195,1.4385,0.581,0.354,0.36,17
971,I,0.275,0.195,0.09,0.1125,0.0545,0.0295,0.0355,6
972,F,0.605,0.48,0.15,1.079,0.4505,0.2835,0.293,10
973,I,0.35,0.28,0.075,0.196,0.08199999999999999,0.04,0.064,8
974,F,0.505,0.38,0.13,0.693,0.391,0.1195,0.1515,8
975,I,0.47,0.35,0.125,0.4315,0.19,0.1165,0.1175,6
976,M,0.625,0.5,0.18,1.3705,0.645,0.303,0.3705,12
977,I,0.67,0.485,0.175,1.2565,0.5355,0.322,0.386,9
978,M,0.65,0.515,0.175,1.4805,0.5295,0.272,0.525,20
979,F,0.555,0.42,0.14,0.868,0.33,0.243,0.21,13
980,I,0.385,0.28,0.09,0.228,0.1025,0.042,0.0655,5
981,F,0.74,0.6,0.195,1.974,0.598,0.4085,0.71,16
982,M,0.525,0.415,0.135,0.7945,0.39399999999999996,0.18899999999999997,0.20199999999999999,7
983,F,0.65,0.51,0.175,1.35,0.575,0.3155,0.3885,10
984,I,0.575,0.475,0.17,0.9670000000000001,0.3775,0.284,0.275,13
985,I,0.465,0.355,0.09,0.4325,0.2005,0.07400000000000001,0.1275,9
986,M,0.595,0.485,0.15,1.0835,0.5305,0.231,0.276,8
987,F,0.645,0.51,0.19,1.3630000000000002,0.573,0.36200000000000004,0.36,10
988,I,0.385,0.3,0.125,0.34299999999999997,0.1705,0.0735,0.081,7
989,F,0.585,0.475,0.185,0.8575,0.3465,0.1785,0.275,12
990,F,0.595,0.47,0.155,1.121,0.4515,0.17800000000000002,0.155,11
991,F,0.53,0.42,0.17,0.828,0.41,0.20800000000000002,0.1505,6
992,F,0.615,0.455,0.135,1.0590000000000002,0.4735,0.263,0.27399999999999997,9
993,I,0.555,0.43,0.14,0.7665,0.341,0.165,0.23,9
994,F,0.565,0.44,0.16,0.915,0.354,0.1935,0.32,12
995,F,0.715,0.585,0.23,2.0725,0.8655,0.4095,0.565,10
996,I,0.55,0.425,0.13,0.664,0.2695,0.163,0.21,8
997,F,0.45,0.36,0.11,0.447,0.203,0.08199999999999999,0.13,12
998,F,0.455,0.365,0.115,0.4305,0.184,0.10800000000000001,0.1245,8
999,M,0.64,0.525,0.18,1.3135,0.4865,0.2995,0.4075,10
